"","X","accessRights","adm1","adm2","associatedOccurrences","associatedReferences","associatedSequences","basisOfRecord","bed","behavior","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","created","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","earliestAgeOrLowestStage","earliestEonOrLowestEonothem","earliestEpochOrLowestSeries","earliestEraOrLowestErathem","earliestPeriodOrLowestSystem","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","footprintWKT","formation","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","geologicalContextID","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","highestBiostratigraphicZone","http...unknown.org.occurrenceDetails","http...unknown.org.organismID","identificationID","identificationQualifier","identificationReferences","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","island","islandGroup","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","latestAgeOrHighestStage","latestEonOrHighestEonothem","latestEpochOrHighestSeries","latestEraOrHighestErathem","latestPeriodOrHighestSystem","license","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","lon","lowestBiostratigraphicZone","modified","month","municipality","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","parentNameUsage","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","reproductiveCondition","rights","rightsHolder","sampleSizeUnit","sampleSizeValue","samplingProtocol","scientificName","scientificNameID","sex","source","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","taxonRemarks","type","typeStatus","typifiedName","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","verbatimTaxonRank","vernacularName","waterBody","year","downloadDate","id_no","binomial","presence","origin","seasonal","compiler","year.1","citation","source.1","dist_comm","island.1","kingdom.1","phylum.1","class.1","order_","family.1","rlcategory","shape_Leng","shape_Area","optional"
"7",7,"http://vertnet.org/resources/norms.html","British Columbia",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"97789","Mammalia",359,"E FORT NELSON, British Columbia, Canada, NORTH_AMERICA","Mammals","urn:lsid:biocol.org:col:34916","NORTH_AMERICA",NA,13950,"Canada",NA,NA,"6d2cfc0a-9903-40b8-802b-403398218e4a",NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NATIVE","2015-11-28T00:00:00.000+0000",NA,NA,"Mustelidae",5307,NA,NA,NA,NA,"Canada",783988369,"Martes","Martes",2433765,"WGS84",NA,NA,NA,"VertNet Georeferencing Guidelines","assumed E is E of, used offset to E of 5 mi calculated; extent is 5 mi back to Fort Nelson","BCGNIS downloaded April 2003/ SoftMap Oct 2003 (www.softmaptechnologies.com); degrees & minutes converted to dec lat/long for calculations; SoftMap uses same lat/long data","requires verification",NA,"CARNIVORA | MUSTELIDAE | MARTES","| Canada | British Columbia |  |  |  |  |",NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:UMMZ:Mammals:97789",NA,NA,"actuosa","UMMZ","urn:lsid:biocol.org:col:34917",NA,NA,"CA",783988369,"Animalia",1,"en","2015-07-16T13:28:43.027+0000","2016-08-04T00:59:17.660+0000","2015-04-07T16:40:31.030+0000",58.8054062638256,NA,NA,NA,NA,NA,NA,NA,"E FORT NELSON",NA,NA,NA,-122.559281270159,NA,"2015-04-06T00:00:00.000+0000",11,NA,"ICZN","urn:catalog:UMMZ:Mammals:97789",NA,"present","Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skull",NA,"DWC_ARCHIVE","US","6ea87510-0561-11d8-b851-b8a03c50a862","G. BEHN","57","http://portal.vertnet.org/o/ummz/mammals?id=97789",NA,"http://creativecommons.org/publicdomain/zero/1.0",NA,NA,NA,NA,"Martes americana subsp. actuosa Osgood, 1900",NA,"MALE",NA,"Martes americana",5218864,"americana",NA,NA,5218866,"SUBSPECIES",NA,"PhysicalObject",NA,NA,"degrees minutes seconds",NA,"28 NOV","CANADA | BRITISH COLUMBIA | E FORT NELSON",NA,NA,NA,2015,"2016-08-10",41648,"Martes americana",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","LC",729.978617173,1119.0799605,TRUE
"137",137,"http://www.vertnet.org/resources/norms.html","Yukon Territory",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"279813","Mammalia",359,"junction of North Klondike Highway and Takhini Hot Springs Road, Yukon Territory, Canada, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,1500,"Canada",NA,NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2013-07-21T00:00:00.000+0000",30,NA,NA,NA,"sex=female ; total length=565 mm; tail length=152 mm; hind foot with claw=80 mm; ear from notch=45 mm; weight=1000 g; endoparasite examination=yes ; endoparasites detected=no",NA,NA,NA,NA,NA,NA,NA,150,NA,"2010-05-30T00:00:00.000+0000",NA,NA,"Mustelidae",5307,NA,NA,NA,NA,"Canada",1145308343,"Martes","Martes",2433765,"WGS84",NA,"Thomas S. Jung","2010-05-30 00:00:00.0","not recorded",NA,"unknown","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Mustelidae;  (Turton, 1806)","North America, Canada, Yukon Territory",NA,NA,NA,NA,"A",NA,NA,"field","CIIBA Crew 2013","http://arctos.database.museum/guid/MSB:Mamm:279813?seid=2620801",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495",NA,NA,"CA",1145308343,"Animalia",1,"en","2016-07-28T04:56:06.448+0000","2016-08-04T12:19:05.762+0000","2016-06-24T04:34:19.312+0000",60.85699,NA,NA,NA,NA,NA,NA,NA,"junction of North Klondike Highway and Takhini Hot Springs Road","Thomas S. Jung",NA,NA,-135.20233,NA,NA,5,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:279813?seid=2620801","Tissue Preservation: -20C first, LN2 second, -80C third; Diaphragm and Tongue taken for Trichinella test;",NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:279813","NK=232283; original identifier=YT-2013-012",NA,NA,"Chordata",44,"skull; postcranial skeleton; tongue (frozen); diaphragm (frozen); heart, kidney, lung, spleen (frozen); liver (frozen)","<i>Martes americana</i> (accepted ID) identified by CIIBA Crew 2013 on 2013-07-21; method: field","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): Thomas S. Jung, Piia M. Kukka; Preparator(s): CIIBA Crew 2013",NA,"http://arctos.database.museum/guid/MSB:Mamm:279813",NA,"http://arctosdb.org/home/data/",NA,NA,NA,NA,"Martes americana (Turton, 1806)",NA,"FEMALE",NA,"Martes americana",5218864,"americana",NA,NA,5218864,"SPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"30-May-2010","North Klondike Hwy / Takhini Hot Springs Rd",NA,NA,NA,2010,"2016-08-10",41648,"Martes americana",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","LC",729.978617173,1119.0799605,TRUE
"231",231,"http://www.vertnet.org/resources/norms.html","British Columbia",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"230656","Mammalia",359,"Okanagan; Skyline Main, Hunters Range, British Columbia, Canada, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,NA,"Canada",NA,NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,NA,3,NA,NA,NA,"sex=male",NA,NA,NA,NA,NA,NA,NA,3,NA,"2009-01-03T00:00:00.000+0000",NA,NA,"Mustelidae",5307,NA,NA,NA,NA,"Canada",1145264577,"Martes","Martes",2433765,"WGS84",NA,"Dave Hatler","2009-01-03 00:00:00.0","not recorded",NA,"unknown","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Mustelidae;  (Turton, 1806)","North America, Canada, British Columbia",NA,NA,NA,NA,"A",NA,NA,"student","unknown","http://arctos.database.museum/guid/MSB:Mamm:230656?seid=345238",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495",NA,NA,"CA",1145264577,"Animalia",1,"en","2016-07-28T04:55:53.531+0000","2016-08-04T12:18:56.736+0000","2016-06-24T04:33:49.366+0000",50.77075,NA,NA,NA,NA,NA,NA,NA,"Okanagan; Skyline Main, Hunters Range","Dave Hatler",NA,NA,-118.92555,NA,NA,1,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:230656?seid=345238","Special # 23",NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:230656","NK=197678; Trapline ID=0825TD55",NA,NA,"Chordata",44,"skull; tongue (frozen); brain (frozen); muscle (frozen)","<i>Martes americana</i> (accepted ID) identified by unknown; method: student","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): Dave Hatler; Preparator(s): Bradley M. Truett",NA,"http://arctos.database.museum/guid/MSB:Mamm:230656",NA,"http://arctosdb.org/home/data/",NA,NA,NA,NA,"Martes americana (Turton, 1806)",NA,"MALE",NA,"Martes americana",5218864,"americana",NA,NA,5218864,"SPECIES",NA,"PhysicalObject",NA,NA,"degrees dec. minutes",NA,"3 Jan 2009","USA/CA    Okenagen; Skyline Rd, Hunters Range, Near Grindrod",NA,NA,NA,2009,"2016-08-10",41648,"Martes americana",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","LC",729.978617173,1119.0799605,TRUE
"232",232,"http://www.vertnet.org/resources/norms.html","British Columbia",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"230719","Mammalia",359,"Okanagan; Skyline Main, Hunters Range, near Grindrod, British Columbia, Canada, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,NA,"Canada",NA,NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,NA,3,NA,NA,NA,"sex=female",NA,NA,NA,NA,NA,NA,NA,3,NA,"2009-01-03T00:00:00.000+0000",NA,NA,"Mustelidae",5307,NA,NA,NA,NA,"Canada",1145264647,"Martes","Martes",2433765,"WGS84",NA,"Dave Hatler","2009-01-03 00:00:00.0","not recorded",NA,"unknown","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Mustelidae;  (Turton, 1806)","North America, Canada, British Columbia",NA,NA,NA,NA,"A",NA,NA,"student","unknown","http://arctos.database.museum/guid/MSB:Mamm:230719?seid=129815",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495",NA,NA,"CA",1145264647,"Animalia",1,"en","2016-07-28T04:55:53.543+0000","2016-08-04T12:18:57.314+0000","2016-06-24T04:33:49.501+0000",50.69617,NA,NA,NA,NA,NA,NA,NA,"Okanagan; Skyline Main, Hunters Range, near Grindrod","Dave Hatler",NA,NA,-119.0035,NA,NA,1,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:230719?seid=129815","Special # 2",NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:230719","NK=197679; Trapline ID=0825TD55",NA,NA,"Chordata",44,"skull; muscle (frozen); brain (frozen); tongue (frozen)","<i>Martes americana</i> (accepted ID) identified by unknown; method: student","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): Dave Hatler; Preparator(s): Bradley M. Truett",NA,"http://arctos.database.museum/guid/MSB:Mamm:230719",NA,"http://arctosdb.org/home/data/",NA,NA,NA,NA,"Martes americana (Turton, 1806)",NA,"FEMALE",NA,"Martes americana",5218864,"americana",NA,NA,5218864,"SPECIES",NA,"PhysicalObject",NA,NA,"degrees dec. minutes",NA,"3 Jan 2009","Okenagen; Skyline Rd, Hunters Range Near Grindrod",NA,NA,NA,2009,"2016-08-10",41648,"Martes americana",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","LC",729.978617173,1119.0799605,TRUE
"359",359,"http://www.vertnet.org/resources/norms.html","Alaska",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"127624","Mammalia",359,"Cooper Lake, Upper Russian Trail, Kenai Mountains, Alaska, United States, NORTH_AMERICA","Mammal specimens","urn:lsid:biocol.org:col:34889","NORTH_AMERICA",NA,5000,"United States",NA,NA,"377be098-626f-4cc2-b4b5-35700050669a",NA,"2008-01-08T00:00:00.000+0000",8,NA,NA,NA,"sex=male ; total length=62.9 cm; weight=1000 g",NA,NA,NA,NA,NA,NA,NA,8,NA,"2008-01-08T00:00:00.000+0000",NA,NA,"Mustelidae",5307,NA,NA,NA,NA,"United States",1249305177,"Martes","Martes",2433765,"WGS84",NA,"Andrew Baltensperger","2008-01-08 00:00:00.0","not recorded",NA,"Google Earth","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Mustelidae;  (Turton, 1806)","North America, United States, Alaska, Kenai Quad",NA,NA,NA,NA,"A",NA,NA,"ID of kin","Andrew Baltensperger","http://arctos.database.museum/guid/UAM:Mamm:127624?seid=3123265",1,NA,NA,"UAM","urn:lsid:biocol.org:col:34847",NA,NA,"US",1249305177,"Animalia",1,"en","2016-08-09T08:05:50.232+0000","2016-08-09T08:06:22.458+0000","2016-08-09T08:05:51.120+0000",60.35,NA,NA,NA,NA,NA,NA,NA,"Cooper Lake, Upper Russian Trail, Kenai Mountains","Andrew Baltensperger",NA,NA,-149.774,NA,NA,1,NA,"ICZN","http://arctos.database.museum/guid/UAM:Mamm:127624?seid=3123265","Study area: Mountain.  3 years old.",NA,"Carnivora",732,"http://arctos.database.museum/guid/UAM:Mamm:127624","original identifier=M08-24",NA,NA,"Chordata",44,"skull","<i>Martes americana</i> (accepted ID) identified by Andrew Baltensperger on 2008-01-08; method: ID of kin","DWC_ARCHIVE","US","d9699a79-4736-45c2-925c-f4033ac67d52","Collector(s): unknown; Preparator(s): Andrew Baltensperger",NA,"http://arctos.database.museum/guid/UAM:Mamm:127624",NA,"http://arctosdb.org/home/data/",NA,NA,NA,"trap","Martes americana (Turton, 1806)",NA,"MALE",NA,"Martes americana",5218864,"americana",NA,NA,5218864,"SPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"1/8/2008","Cooper Lake, Upper Russian Trail, Kenai Mountains",NA,NA,NA,2008,"2016-08-10",41648,"Martes americana",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","LC",729.978617173,1119.0799605,TRUE
"362",362,"http://www.vertnet.org/resources/norms.html","Alaska",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"126513","Mammalia",359,"Rainbow lake, KNWR, Alaska, United States, NORTH_AMERICA","Mammal specimens","urn:lsid:biocol.org:col:34889","NORTH_AMERICA",NA,5000,"United States",NA,NA,"377be098-626f-4cc2-b4b5-35700050669a",NA,"2008-01-02T00:00:00.000+0000",2,NA,NA,NA,"sex=female ; total length=57.2 cm; weight=515 g; numeric age=2 years",NA,NA,NA,NA,NA,NA,NA,2,NA,"2008-01-02T00:00:00.000+0000",NA,NA,"Mustelidae",5307,NA,NA,NA,NA,"United States",1229699849,"Martes","Martes",2433765,"WGS84",NA,"Andrew Baltensperger","2008-01-02 00:00:00.0","not recorded",NA,"Google Earth","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Mustelidae;  (Turton, 1806)","North America, United States, Alaska, Kenai Quad",NA,NA,NA,NA,"A",NA,NA,"field","Andrew Baltensperger","http://arctos.database.museum/guid/UAM:Mamm:126513?seid=3079875",1,NA,NA,"UAM","urn:lsid:biocol.org:col:34847",NA,NA,"US",1229699849,"Animalia",1,"en","2016-08-09T08:05:49.544+0000","2016-08-09T08:06:20.156+0000","2016-08-09T08:05:50.369+0000",60.71,NA,NA,NA,NA,NA,NA,NA,"Rainbow lake, KNWR","Andrew Baltensperger",NA,NA,-150.8,NA,NA,1,NA,"ICZN","http://arctos.database.museum/guid/UAM:Mamm:126513?seid=3079875","Study Area: Lowland",NA,"Carnivora",732,"http://arctos.database.museum/guid/UAM:Mamm:126513","original identifier=MF08-01",NA,NA,"Chordata",44,"skull","<i>Martes americana</i> (accepted ID) identified by Andrew Baltensperger on 2008-01-02; method: field","DWC_ARCHIVE","US","d9699a79-4736-45c2-925c-f4033ac67d52","Collector(s): unknown; Preparator(s): Andrew Baltensperger",NA,"http://arctos.database.museum/guid/UAM:Mamm:126513",NA,"http://arctosdb.org/home/data/",NA,NA,NA,NA,"Martes americana (Turton, 1806)",NA,"FEMALE",NA,"Martes americana",5218864,"americana",NA,NA,5218864,"SPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"1/2/08","Rainbow lake, KNWR",NA,NA,NA,2008,"2016-08-10",41648,"Martes americana",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","LC",729.978617173,1119.0799605,TRUE
"363",363,"http://www.vertnet.org/resources/norms.html",NA,NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"214514","Mammalia",359,"Not Recorded, Canada, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,NA,"Canada",NA,NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2008-07-31T00:00:00.000+0000",11,NA,NA,NA,"sex: recorded as unknown",NA,NA,NA,NA,NA,NA,NA,11,NA,"2008-01-11T00:00:00.000+0000",NA,NA,"Mustelidae",5307,NA,NA,NA,NA,"Canada",1145246788,"Martes","Martes",2433765,"WGS84",NA,"Frank Phillips","2008-01-11 00:00:00.0","not recorded",NA,"Not Recorded","unverified",NA,"Animalia Chordata Mammalia Carnivora Mustelidae  (Turton, 1806)","North America, Canada",NA,NA,NA,NA,"A",NA,NA,"field","Clayton Meredith","http://arctos.database.museum/guid/MSB:Mamm:214514?seid=1344153",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495",NA,NA,"CA",1145246788,"Animalia",1,"en","2016-07-28T04:55:49.357+0000","2016-08-04T12:19:03.684+0000","2016-06-24T04:33:38.642+0000",53.33558,NA,NA,NA,NA,NA,NA,NA,"Not Recorded","Frank Phillips",NA,NA,-60.3681,NA,NA,1,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:214514?seid=1344153",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:214514","NK=154785",NA,NA,"Chordata",44,"skull; muscle (frozen)",NA,"DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): Frank Phillips; Preparator(s): Clayton Meredith",NA,"http://arctos.database.museum/guid/MSB:Mamm:214514",NA,"http://arctosdb.org/home/data/",NA,NA,NA,NA,"Martes americana (Turton, 1806)",NA,NA,NA,"Martes americana",5218864,"americana",NA,NA,5218864,"SPECIES",NA,"PhysicalObject",NA,NA,"degrees dec. minutes",NA,"11 January 2008","Not Recorded",NA,NA,NA,2008,"2016-08-10",41648,"Martes americana",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","LC",729.978617173,1119.0799605,TRUE
"371",371,"http://www.vertnet.org/resources/norms.html",NA,NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"214556","Mammalia",359,"Not Recorded, Canada, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,NA,"Canada",NA,NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2008-07-31T00:00:00.000+0000",28,NA,NA,NA,"sex: female",NA,NA,NA,NA,NA,NA,NA,28,NA,"2008-01-28T00:00:00.000+0000",NA,NA,"Mustelidae",5307,NA,NA,NA,NA,"Canada",1145246842,"Martes","Martes",2433765,"WGS84",NA,"Frank Phillips","2008-01-28 00:00:00.0","not recorded",NA,"Not Recorded","unverified",NA,"Animalia Chordata Mammalia Carnivora Mustelidae  (Turton, 1806)","North America, Canada",NA,NA,NA,NA,"A",NA,NA,"field","Clayton Meredith","http://arctos.database.museum/guid/MSB:Mamm:214556?seid=708287",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495",NA,NA,"CA",1145246842,"Animalia",1,"en","2016-07-28T04:55:49.359+0000","2016-08-04T12:18:56.860+0000","2016-06-24T04:33:38.682+0000",53.30975,NA,NA,NA,NA,NA,NA,NA,"Not Recorded","Frank Phillips",NA,NA,-61.22618,NA,NA,1,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:214556?seid=708287",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:214556","NK=154783",NA,NA,"Chordata",44,"skull; muscle (frozen)",NA,"DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): Frank Phillips; Preparator(s): Clayton Meredith",NA,"http://arctos.database.museum/guid/MSB:Mamm:214556",NA,"http://arctosdb.org/home/data/",NA,NA,NA,NA,"Martes americana (Turton, 1806)",NA,"FEMALE",NA,"Martes americana",5218864,"americana",NA,NA,5218864,"SPECIES",NA,"PhysicalObject",NA,NA,"degrees dec. minutes",NA,"28 January 2008","Not Recorded",NA,NA,NA,2008,"2016-08-10",41648,"Martes americana",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","LC",729.978617173,1119.0799605,TRUE
"380",380,"http://www.vertnet.org/resources/norms.html",NA,NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"214503","Mammalia",359,"Not Recorded, Canada, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,NA,"Canada",NA,NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2008-07-31T00:00:00.000+0000",27,NA,NA,NA,"sex: female",NA,NA,NA,NA,NA,NA,NA,27,NA,"2008-01-27T00:00:00.000+0000",NA,NA,"Mustelidae",5307,NA,NA,NA,NA,"Canada",1145246753,"Martes","Martes",2433765,"WGS84",NA,"Frank Phillips","2008-01-27 00:00:00.0","not recorded",NA,"Not Recorded","unverified",NA,"Animalia Chordata Mammalia Carnivora Mustelidae  (Turton, 1806)","North America, Canada",NA,NA,NA,NA,"A",NA,NA,"field","Clayton Meredith","http://arctos.database.museum/guid/MSB:Mamm:214503?seid=1257743",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495",NA,NA,"CA",1145246753,"Animalia",1,"en","2016-07-28T04:55:49.357+0000","2016-08-04T12:18:58.243+0000","2016-06-24T04:33:38.654+0000",53.34252,NA,NA,NA,NA,NA,NA,NA,"Not Recorded","Frank Phillips",NA,NA,-61.91298,NA,NA,1,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:214503?seid=1257743",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:214503","NK=154782",NA,NA,"Chordata",44,"skull; muscle (frozen)",NA,"DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): Frank Phillips; Preparator(s): Clayton Meredith",NA,"http://arctos.database.museum/guid/MSB:Mamm:214503",NA,"http://arctosdb.org/home/data/",NA,NA,NA,NA,"Martes americana (Turton, 1806)",NA,"FEMALE",NA,"Martes americana",5218864,"americana",NA,NA,5218864,"SPECIES",NA,"PhysicalObject",NA,NA,"degrees dec. minutes",NA,"27 January 2008","Not Recorded",NA,NA,NA,2008,"2016-08-10",41648,"Martes americana",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","LC",729.978617173,1119.0799605,TRUE
"422",423,"http://www.vertnet.org/resources/norms.html","British Columbia",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"230650","Mammalia",359,"Kootenay Region, Law Creek, British Columbia, Canada, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,NA,"Canada",NA,NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,NA,23,NA,NA,NA,"sex=male ; total length=555 mm; tail length=163 mm; hind foot with claw=82 mm; weight=630 g",NA,NA,NA,NA,NA,NA,NA,358,NA,"2008-12-23T00:00:00.000+0000",NA,NA,"Mustelidae",5307,NA,NA,NA,NA,"Canada",1145264523,"Martes","Martes",2433765,"WGS84",NA,"Frank Rad","2008-12-23 00:00:00.0","not recorded",NA,"unknown","unverified",NA,"Animalia Chordata Mammalia Carnivora Mustelidae1 (Turton, 1806)","North America, Canada, British Columbia",NA,NA,NA,NA,"A",NA,NA,"field","Frank Rad","http://arctos.database.museum/guid/MSB:Mamm:230650?seid=565488",NA,NA,NA,"MSB","urn:lsid:biocol.org:col:34495",NA,NA,"CA",1145264523,"Animalia",1,"en","2016-07-28T04:55:53.525+0000","2016-08-04T12:18:56.908+0000","2016-06-24T04:33:49.336+0000",50.53298,NA,NA,NA,NA,NA,NA,NA,"Kootenay Region, Law Creek","Frank Rad",NA,NA,-116.31986,NA,NA,12,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:230650?seid=565488","Weight without skin.",NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:230650","NK=197698; Trapline ID=0426T008",NA,NA,"Chordata",44,"skull; postcranial skeleton; tongue (frozen); heart, kidney, lung, spleen (frozen); liver (frozen)",NA,"DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): Frank Rad; Preparator(s): Brooks A. Kohli",NA,"http://arctos.database.museum/guid/MSB:Mamm:230650",NA,"http://arctosdb.org/home/data/",NA,NA,NA,NA,"Martes americana (Turton, 1806)",NA,"MALE",NA,"Martes americana",5218864,"americana",NA,NA,5218864,"SPECIES",NA,"PhysicalObject",NA,NA,"deg. min. sec.",NA,"23 Dec 2008","Kootenoy Region, near Law Creek",NA,NA,NA,2008,"2016-08-10",41648,"Martes americana",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","LC",729.978617173,1119.0799605,TRUE
