"","X","accessRights","adm1","adm2","associatedOccurrences","associatedReferences","associatedSequences","basisOfRecord","behavior","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinateUncertaintyInMeters","country","created","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","higherClassification","higherGeography","http...unknown.org.occurrenceDetails","http...unknown.org.organismID","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","island","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","lifeStage","locality","locationAccordingTo","locationRemarks","lon","modified","month","municipality","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","parentNameUsage","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","reproductiveCondition","rights","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","source","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","taxonRemarks","type","typeStatus","typifiedName","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","verbatimTaxonRank","vernacularName","waterBody","year","downloadDate","id_no","binomial","presence","origin","seasonal","compiler","year.1","citation","source.1","dist_comm","island.1","kingdom.1","phylum.1","class.1","order_","family.1","rlcategory","shape_Leng","shape_Area","optional"
"7",7,"http://www.vertnet.org/resources/norms.html","Alaska",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"118846","Mammalia",359,"Cripple Creek/Rosie Creek, Alaska, United States, NORTH_AMERICA","Mammal specimens","urn:lsid:biocol.org:col:34889","NORTH_AMERICA",3000,"United States",NA,NA,"377be098-626f-4cc2-b4b5-35700050669a",NA,"2013-04-13T00:00:00.000+0000",13,NA,NA,NA,"sex=female ; weight=4.9 kg; age class=adult",NA,NA,103,NA,"2013-04-13T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,"United States",897015336,"Lynx","Lynx",2435239,"WGS84","Kimberlee Beckmen","2013-04-13 00:00:00.0","not recorded",NA,"Google Earth","unverified","Animalia; Chordata; Mammalia; Carnivora; Felidae;  Kerr, 1792","North America, United States, Alaska, Fairbanks Quad",NA,NA,NA,"A",NA,"field","Kimberlee Beckmen","http://arctos.database.museum/guid/UAM:Mamm:118846?seid=2071621",1,NA,NA,"UAM","urn:lsid:biocol.org:col:34847",NA,"US",897015336,"Animalia",1,"en","2016-08-09T08:05:45.993+0000","2016-08-09T08:06:07.772+0000","2016-08-09T08:05:46.696+0000",64.79051,NA,"ADULT","Cripple Creek/Rosie Creek","Kimberlee Beckmen",NA,-148.06642,NA,4,NA,"ICZN","http://arctos.database.museum/guid/UAM:Mamm:118846?seid=2071621","Emaciated",NA,"Carnivora",732,"http://arctos.database.museum/guid/UAM:Mamm:118846","AF=77920; original identifier=2013-060",NA,NA,"Chordata",44,"skull; muscle (frozen)","<i>Lynx canadensis</i> (accepted ID) identified by Kimberlee Beckmen on 2013-04-13; method: field","DWC_ARCHIVE","US","d9699a79-4736-45c2-925c-f4033ac67d52","Collector(s): Kimberlee Beckmen; Preparator(s): Kimberlee Beckmen",NA,"http://arctos.database.museum/guid/UAM:Mamm:118846",NA,"http://arctosdb.org/home/data/",NA,NA,"Lynx canadensis Kerr, 1792",NA,"FEMALE",NA,"Lynx canadensis",2435263,"canadensis",NA,NA,2435263,"SPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"4/13/2013","Cripple Creek/Rosie Creek",NA,NA,NA,2013,"2016-08-10",12518,"Lynx canadensis",1,1,1,"Maine Department of Inland Fisheries and Wildlife",2016,"Maine Department of Inland Fisheries and Wildlife","Alaska Department of Fish and Game",NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",269.991269892,263.88528581,TRUE
"10",10,"http://www.vertnet.org/resources/norms.html","Alaska",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"114103","Mammalia",359,"Chickaloon, Alaska, United States, NORTH_AMERICA","Mammal specimens","urn:lsid:biocol.org:col:34889","NORTH_AMERICA",NA,"United States",NA,NA,"377be098-626f-4cc2-b4b5-35700050669a",NA,"2012-02-09T00:00:00.000+0000",9,NA,NA,NA,"sex=male",NA,NA,40,NA,"2012-02-09T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,"United States",897010105,"Lynx","Lynx",2435239,"WGS84","Aren M. Gunderson","9-12-12 00:00:00.0","not recorded",NA,"unknown","unverified","Animalia; Chordata; Mammalia; Carnivora; Felidae;  Kerr, 1792","North America, United States, Alaska, Anchorage Quad",NA,NA,NA,"A",NA,"field","Rick Ellis","http://arctos.database.museum/guid/UAM:Mamm:114103?seid=1863988",1,NA,NA,"UAM","urn:lsid:biocol.org:col:34847",NA,"US",897010105,"Animalia",1,"en","2016-08-09T08:05:43.970+0000","2016-08-09T08:05:58.673+0000","2016-08-09T08:05:44.357+0000",61.80086,NA,NA,"Chickaloon","Aren M. Gunderson",NA,-147.81473,NA,2,NA,"ICZN","http://arctos.database.museum/guid/UAM:Mamm:114103?seid=1863988",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/UAM:Mamm:114103","AF=72823",NA,NA,"Chordata",44,"muscle (frozen)","<i>Lynx canadensis</i> (accepted ID) identified by Rick Ellis on 2012-02-09; method: field","DWC_ARCHIVE","US","d9699a79-4736-45c2-925c-f4033ac67d52","Collector(s): Rick Ellis; Preparator(s): Karsten Hueffer",NA,"http://arctos.database.museum/guid/UAM:Mamm:114103",NA,"http://arctosdb.org/home/data/",NA,NA,"Lynx canadensis Kerr, 1792",NA,"MALE",NA,"Lynx canadensis",2435263,"canadensis",NA,NA,2435263,"SPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"2/9/12","Chickaloon",NA,NA,NA,2012,"2016-08-10",12518,"Lynx canadensis",1,1,1,"Maine Department of Inland Fisheries and Wildlife",2016,"Maine Department of Inland Fisheries and Wildlife","Alaska Department of Fish and Game",NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",269.991269892,263.88528581,TRUE
"21",22,"http://www.vertnet.org/resources/norms.html","Alaska",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"110266","Mammalia",359,"Richardson Hwy, near North Pole, Alaska, United States, NORTH_AMERICA","Mammal specimens","urn:lsid:biocol.org:col:34889","NORTH_AMERICA",2414.02,"United States",NA,NA,"377be098-626f-4cc2-b4b5-35700050669a",NA,"2010-09-22T00:00:00.000+0000",20,NA,NA,NA,"sex=male ; total length=915 mm; tail length=110 mm; hind foot with claw=125 mm; ear from notch=78 mm; weight=10.2 kg; reproductive data=T=25x16 mm",NA,NA,263,NA,"2010-09-20T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,"United States",897006003,"Lynx","Lynx",2435239,"WGS84","Jennifer L. Ostler","2011-03-01 00:00:00.0","not recorded",NA,"Google Earth","unverified","Animalia; Chordata; Mammalia; Carnivora; Felidae;  Kerr, 1792","North America, United States, Alaska, Fairbanks Quad",NA,NA,NA,"A",NA,"student","Nicholas J. Kerhoulas","http://arctos.database.museum/guid/UAM:Mamm:110266?seid=1040260",1,NA,NA,"UAM","urn:lsid:biocol.org:col:34847",NA,"US",897006003,"Animalia",1,"en","2016-08-09T08:05:42.034+0000","2016-08-09T08:05:51.692+0000","2016-08-09T08:05:42.271+0000",64.7587,NA,NA,"Richardson Hwy, near North Pole","Jennifer L. Ostler",NA,-147.3513,NA,9,NA,"ICZN","http://arctos.database.museum/guid/UAM:Mamm:110266?seid=1040260","Road-killed specimen, donated by ADF&G.",NA,"Carnivora",732,"http://arctos.database.museum/guid/UAM:Mamm:110266","AF=71398",NA,NA,"Chordata",44,"skull; postcranial skeleton; spleen (frozen); heart (frozen); kidney (frozen); liver (frozen)","<i>Lynx canadensis</i> (accepted ID) identified by Nicholas J. Kerhoulas on 2010-09-22; method: student","DWC_ARCHIVE","US","d9699a79-4736-45c2-925c-f4033ac67d52","Collector(s): C. Tom Seaton; Preparator(s): Nicholas J. Kerhoulas",NA,"http://arctos.database.museum/guid/UAM:Mamm:110266",NA,"http://arctosdb.org/home/data/",NA,NA,"Lynx canadensis Kerr, 1792",NA,"MALE",NA,"Lynx canadensis",2435263,"canadensis",NA,NA,2435263,"SPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"2010-09-20","Richardson Hwy, near North Pole",NA,NA,NA,2010,"2016-08-10",12518,"Lynx canadensis",1,1,1,"Maine Department of Inland Fisheries and Wildlife",2016,"Maine Department of Inland Fisheries and Wildlife","Alaska Department of Fish and Game",NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",269.991269892,263.88528581,TRUE
"22",23,"http://www.vertnet.org/resources/norms.html","Alaska",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"110323","Mammalia",359,"Skyridge Drive, Alaska, United States, NORTH_AMERICA","Mammal specimens","urn:lsid:biocol.org:col:34889","NORTH_AMERICA",15.24,"United States",NA,NA,"377be098-626f-4cc2-b4b5-35700050669a",NA,"2010-09-24T00:00:00.000+0000",22,NA,NA,NA,"sex=female ; total length=808 mm; tail length=101 mm; hind foot with claw=212 mm; ear from notch=72 mm; weight=19.5 lb; reproductive data=no embryos, no plsc",NA,NA,265,NA,"2010-09-22T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,"United States",897006087,"Lynx","Lynx",2435239,"WGS84","Cody Johnson","2010-09-22 00:00:00.0","not recorded",NA,"GPS (transcribed)","unverified","Animalia; Chordata; Mammalia; Carnivora; Felidae;  Kerr, 1792","North America, United States, Alaska, Fairbanks Quad",NA,NA,NA,"A",NA,"student","Brandy K. Jacobsen","http://arctos.database.museum/guid/UAM:Mamm:110323?seid=1487350",1,NA,NA,"UAM","urn:lsid:biocol.org:col:34847",NA,"US",897006087,"Animalia",1,"en","2016-08-09T08:05:42.086+0000","2016-08-09T08:05:52.297+0000","2016-08-09T08:05:42.519+0000",64.9207,NA,NA,"Skyridge Drive","Cody Johnson",NA,-147.67162,NA,9,NA,"ICZN","http://arctos.database.museum/guid/UAM:Mamm:110323?seid=1487350",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/UAM:Mamm:110323","AF=70936",NA,NA,"Chordata",44,"skull; postcranial skeleton; liver (frozen); kidney (frozen); spleen (frozen); heart (frozen)","<i>Lynx canadensis</i> (accepted ID) identified by Brandy K. Jacobsen on 2010-09-24; method: student","DWC_ARCHIVE","US","d9699a79-4736-45c2-925c-f4033ac67d52","Collector(s): Cody Johnson; Preparator(s): Brandy K. Jacobsen",NA,"http://arctos.database.museum/guid/UAM:Mamm:110323",NA,"http://arctosdb.org/home/data/",NA,NA,"Lynx canadensis Kerr, 1792",NA,"FEMALE",NA,"Lynx canadensis",2435263,"canadensis",NA,NA,2435263,"SPECIES",NA,"PhysicalObject",NA,NA,"degrees dec. minutes",NA,"2010-09-22","Skyridge Drive",NA,NA,NA,2010,"2016-08-10",12518,"Lynx canadensis",1,1,1,"Maine Department of Inland Fisheries and Wildlife",2016,"Maine Department of Inland Fisheries and Wildlife","Alaska Department of Fish and Game",NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",269.991269892,263.88528581,TRUE
"27",28,"http://vertnet.org/resources/norms.html","Alaska",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"zm-15857","Mammalia",359,"[not recorded]., Alaska, United States, NORTH_AMERICA","ZM",NA,"NORTH_AMERICA",1828000,"United States",NA,NA,"835ff8be-ea5c-45e4-b3f3-126852ac56fe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NATIVE","2008-01-01T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,"United States",866377205,"Lynx","Lynx",2435239,"WGS84",NA,NA,"VertNet Georeferencing Guidelines","Latitude and Longitude are for Alaska.",NA,"requires verification","Animalia | Chordata | Mammalia | Carnivora | Felidae | Lynx","| USA | Alaska |  |  |  |  |",NA,NA,NA,NA,NA,NA,NA,"urn:catalog:NYSM:ZM:zm-15857",1,NA,NA,"NYSM","urn:lsid:biocol.org:col:35009",NA,"US",866377205,"Animalia",1,"en","2016-05-25T17:37:29.246+0000","2016-08-04T04:51:57.457+0000","2016-05-25T17:37:29.380+0000",64.73167,NA,"ADULT","[not recorded].",NA,NA,-152.47,"2015-02-16T00:00:00.000+0000",NA,NA,"ICZN","urn:catalog:NYSM:ZM:zm-15857",NA,"present","Carnivora",732,NA,NA,NA,NA,"Chordata",44,"shoulder mount",NA,"DWC_ARCHIVE","US","baa8ccb1-8d9d-4940-93a6-2241c8a04ba5",NA,NA,"http://portal.vertnet.org/o/nysm/zm?id=zm-15857",NA,"http://creativecommons.org/publicdomain/zero/1.0",NA,NA,"Lynx canadensis Kerr, 1792",NA,"MALE",NA,"Lynx canadensis",2435263,"canadensis",NA,NA,2435263,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"2008","USA | Alaska | [not recorded].",NA,NA,NA,2008,"2016-08-10",12518,"Lynx canadensis",1,1,1,"Maine Department of Inland Fisheries and Wildlife",2016,"Maine Department of Inland Fisheries and Wildlife","Alaska Department of Fish and Game",NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",269.991269892,263.88528581,TRUE
"28",29,NA,"Alaska","Yukon-Koyukuk Dist.",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"28734","Mammalia",359,"Stevens Village., Alaska, Yukon-Koyukuk Dist., United States, NORTH_AMERICA","MAM",NA,"NORTH_AMERICA",NA,"United States",NA,NA,"6ce7290f-47f6-4046-8356-371f5b6749df",NA,NA,4,NA,NA,NA,"Weight=13 lbs 4 oz; Length=607.5 mm S.L.",NA,NA,NA,NA,"2007-01-04T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,"United States",583536762,"Lynx","Lynx",2435239,"WGS84",NA,NA,"GNIS",NA,NA,NA,"Animalia; Chordata; Mammalia; Carnivora; Felidae","North America; USA; Alaska; Yukon-Koyukuk Dist.",NA,NA,NA,NA,NA,NA,"Martin Middelstadt","urn:catalog:CAS:MAM:28734",NA,NA,"canadensis","CAS",NA,NA,"US",583536762,"Animalia",1,"en","2016-08-09T10:34:01.818+0000","2016-08-04T00:58:25.669+0000","2016-03-29T19:22:56.159+0000",66.00638,NA,NA,"Stevens Village.",NA,NA,-149.09083,NA,1,NA,NA,"urn:catalog:CAS:MAM:28734","Complete skeleton plus tissues. Weight taken by M. Middelstadt. Total length taken on skinned specimen. No hyoids, broken bones on left front foot. Aged 1 year by Martin Middelstadt.",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"SL",NA,"DWC_ARCHIVE","US","66522820-055c-11d8-b84e-b8a03c50a862","Martin Middelstadt",NA,NA,NA,NA,NA,NA,"Lynx canadensis subsp. canadensis",NA,NA,NA,"Lynx canadensis",2435263,"canadensis",4,NA,7193913,"SUBSPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"04 January 2007",NA,NA,NA,NA,2007,"2016-08-10",12518,"Lynx canadensis",1,1,1,"Maine Department of Inland Fisheries and Wildlife",2016,"Maine Department of Inland Fisheries and Wildlife","Alaska Department of Fish and Game",NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",269.991269892,263.88528581,TRUE
"35",38,"http://www.vertnet.org/resources/norms.html","Alaska",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"111593","Mammalia",359,"37 mile Chena Hot Springs Road, Fairbanks, Alaska, United States, NORTH_AMERICA","Mammal specimens","urn:lsid:biocol.org:col:34889","NORTH_AMERICA",8046.72,"United States",NA,NA,"377be098-626f-4cc2-b4b5-35700050669a",NA,"2007-12-15T00:00:00.000+0000",15,NA,NA,NA,"sex=female ; reproductive data=No emb, no plsc",NA,NA,349,NA,"2007-12-15T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,"United States",897007327,"Lynx","Lynx",2435239,"WGS84","Patrick W. Cotter","2007-12-15 00:00:00.0","not recorded",NA,"Google Earth","unverified","Animalia; Chordata; Mammalia; Carnivora; Felidae;  Kerr, 1792","North America, United States, Alaska, Fairbanks Quad",NA,NA,NA,"A",NA,"field","Patrick W. Cotter","http://arctos.database.museum/guid/UAM:Mamm:111593?seid=62037",1,NA,NA,"UAM","urn:lsid:biocol.org:col:34847",NA,"US",897007327,"Animalia",1,"en","2016-08-09T08:05:42.577+0000","2016-08-09T08:05:53.774+0000","2016-08-09T08:05:42.970+0000",64.88457,NA,NA,"37 mile Chena Hot Springs Road, Fairbanks","Patrick W. Cotter",NA,-146.85458,NA,12,NA,"ICZN","http://arctos.database.museum/guid/UAM:Mamm:111593?seid=62037",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/UAM:Mamm:111593","AF=50359; original identifier=PWC079",NA,NA,"Chordata",44,"skull; postcranial skeleton; spleen (frozen); heart (frozen); kidney (frozen); liver (frozen)","<i>Lynx canadensis</i> (accepted ID) identified by Patrick W. Cotter on 2007-12-15; method: field","DWC_ARCHIVE","US","d9699a79-4736-45c2-925c-f4033ac67d52","Collector(s): Patrick W. Cotter; Preparator(s): Iris Hartshorn",NA,"http://arctos.database.museum/guid/UAM:Mamm:111593",NA,"http://arctosdb.org/home/data/",NA,NA,"Lynx canadensis Kerr, 1792",NA,"FEMALE",NA,"Lynx canadensis",2435263,"canadensis",NA,NA,2435263,"SPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"2007-12-15","37 mile Chena Hot Springs Road, Fairbanks",NA,NA,NA,2007,"2016-08-10",12518,"Lynx canadensis",1,1,1,"Maine Department of Inland Fisheries and Wildlife",2016,"Maine Department of Inland Fisheries and Wildlife","Alaska Department of Fish and Game",NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",269.991269892,263.88528581,TRUE
"47",50,"http://www.vertnet.org/resources/norms.html","Alaska",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"247176","Mammalia",359,"5 mi S of Beaver Creek, Yukon Flats, Alaska, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",304.8,"United States",NA,NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2005-07-28T00:00:00.000+0000",28,NA,NA,NA,"sex=unknown",NA,NA,209,NA,"2005-07-28T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,"United States",1145277618,"Lynx","Lynx",2435239,"WGS84","C. Tom Seaton","2005-07-28 00:00:00.0","not recorded",NA,"collector's notation","unverified","Animalia; Chordata; Mammalia; Carnivora; Felidae;  Kerr, 1792","North America, United States, Alaska",NA,NA,NA,"A",NA,"field","C. Tom Seaton","http://arctos.database.museum/guid/MSB:Mamm:247176?seid=1792720",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495",NA,"US",1145277618,"Animalia",1,"en","2016-07-28T04:55:57.459+0000","2016-08-04T12:19:06.953+0000","2016-06-24T04:33:59.563+0000",66.15,NA,NA,"5 mi S of Beaver Creek, Yukon Flats","C. Tom Seaton",NA,-147.55,NA,7,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:247176?seid=1792720",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:247176","DGR: Division of Genomic Resources (MSB)=10002072; NK=130902",NA,NA,"Chordata",44,"skull; muscle (frozen)","<i>Lynx canadensis</i> (accepted ID) identified by C. Tom Seaton on 2005-07-28; method: field","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): C. Tom Seaton; Preparator(s): Russell D. Milazzo",NA,"http://arctos.database.museum/guid/MSB:Mamm:247176",NA,"http://arctosdb.org/home/data/",NA,NA,"Lynx canadensis Kerr, 1792",NA,NA,NA,"Lynx canadensis",2435263,"canadensis",NA,NA,2435263,"SPECIES",NA,"PhysicalObject",NA,NA,"degrees dec. minutes",NA,"28-Jul-2005","5 Mi S of Beaver Creek, Yukon Flats",NA,NA,NA,2005,"2016-08-10",12518,"Lynx canadensis",1,1,1,"Maine Department of Inland Fisheries and Wildlife",2016,"Maine Department of Inland Fisheries and Wildlife","Alaska Department of Fish and Game",NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",269.991269892,263.88528581,TRUE
"51",54,"http://www.vertnet.org/resources/norms.html","Alaska",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"247177","Mammalia",359,"5 mi S of Beaver Creek, Yuken Flats, Alaska, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",304.8,"United States",NA,NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2005-08-01T00:00:00.000+0000",1,NA,NA,NA,"sex=unknown",NA,NA,213,NA,"2005-08-01T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,"United States",1145277607,"Lynx","Lynx",2435239,"WGS84","C. Tom Seaton","2005-08-01 00:00:00.0","not recorded",NA,"collector's notation","unverified","Animalia; Chordata; Mammalia; Carnivora; Felidae;  Kerr, 1792","North America, United States, Alaska",NA,NA,NA,"A",NA,"field","C. Tom Seaton","http://arctos.database.museum/guid/MSB:Mamm:247177?seid=226965",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495",NA,"US",1145277607,"Animalia",1,"en","2016-07-28T04:55:57.464+0000","2016-08-04T12:19:06.713+0000","2016-06-24T04:33:59.577+0000",66.15,NA,NA,"5 mi S of Beaver Creek, Yuken Flats","C. Tom Seaton",NA,-142.55,NA,8,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:247177?seid=226965","Accession # 2005-1057",NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:247177","DGR: Division of Genomic Resources (MSB)=10002073; NK=130909",NA,NA,"Chordata",44,"skull; heart, liver, muscle (frozen)","<i>Lynx canadensis</i> (accepted ID) identified by C. Tom Seaton on 2005-08-01; method: field","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): C. Tom Seaton; Preparator(s): Russell D. Milazzo",NA,"http://arctos.database.museum/guid/MSB:Mamm:247177",NA,"http://arctosdb.org/home/data/",NA,NA,"Lynx canadensis Kerr, 1792",NA,NA,NA,"Lynx canadensis",2435263,"canadensis",NA,NA,2435263,"SPECIES",NA,"PhysicalObject",NA,NA,"degrees dec. minutes",NA,"01-Aug-2005","5 Mi S of Beaver Creek, Yuken Flats",NA,NA,NA,2005,"2016-08-10",12518,"Lynx canadensis",1,1,1,"Maine Department of Inland Fisheries and Wildlife",2016,"Maine Department of Inland Fisheries and Wildlife","Alaska Department of Fish and Game",NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",269.991269892,263.88528581,TRUE
"63",66,"http://www.vertnet.org/resources/norms.html","Northwest Territories",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"143623","Mammalia",359,"Vermillion Creek, 38 km SE Norman Wells, Northwest Territories, Canada, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",2000,"Canada",NA,NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2004-01-01T00:00:00.000+0000",1,NA,NA,NA,"sex=not recorded",NA,NA,1,NA,"2004-01-01T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,"Canada",1145170111,"Lynx","Lynx",2435239,"WGS84","unknown","2012-07-08 00:00:00.0","not recorded",NA,"not recorded","unverified","Animalia; Chordata; Mammalia; Carnivora; Felidae;  Kerr, 1792","North America, Canada, Northwest Territories",NA,NA,NA,"A",NA,"field","Paul J. Polechla Jr.","http://arctos.database.museum/guid/MSB:Mamm:143623?seid=173785",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495",NA,"CA",1145170111,"Animalia",1,"en","2016-07-28T04:55:30.875+0000","2016-08-04T12:19:06.834+0000","2016-06-24T04:32:58.696+0000",65.11667,NA,NA,"Vermillion Creek, 38 km SE Norman Wells","unknown",NA,-126.13333,NA,1,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:143623?seid=173785",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:143623","NK=135108; preparator number=3170",NA,NA,"Chordata",44,"skull; muscle (frozen)","<i>Lynx canadensis</i> (accepted ID) identified by Paul J. Polechla Jr. on 2004-01-01; method: field","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): Richard Popko; Preparator(s): Paul J. Polechla Jr.",NA,"http://arctos.database.museum/guid/MSB:Mamm:143623",NA,"http://arctosdb.org/home/data/",NA,NA,"Lynx canadensis Kerr, 1792",NA,NA,NA,"Lynx canadensis",2435263,"canadensis",NA,NA,2435263,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"01-Jan-2004","Vermillion Creek, Norman Wells",NA,NA,NA,2004,"2016-08-10",12518,"Lynx canadensis",1,1,1,"Maine Department of Inland Fisheries and Wildlife",2016,"Maine Department of Inland Fisheries and Wildlife","Environment & Natural Resources, Govt. NWT",NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",112.549199753,156.304437242,TRUE
